cm_id,memb_year,payment_date,amount,method
19,2022,2021-10-08,118.26,credit
21,2023,2022-03-18,155.83,debit
29,2023,2023-09-16,89.49,debit
8,2024,2023-03-22,138.52,credit
18,2023,2022-08-06,189.86,debit
19,2024,2023-04-17,189.59,cash
12,2023,2022-07-26,90.91,credit
16,2023,2022-03-25,128.69,cash
28,2023,2022-12-24,177.85,credit
20,2024,2023-04-30,36.56,credit
26,2023,2022-12-27,198.63,credit
20,2023,2022-08-23,73.04,credit
11,2023,2022-03-15,174.02,debit
28,2024,2023-04-08,172.27,debit
13,2022,2021-08-16,181.24,cash
6,2023,2022-01-12,180.77,credit
27,2023,2023-12-28,148.88,cash
1,2024,2023-02-03,28.96,credit
21,2023,2022-09-04,131.38,cash
13,2022,2021-11-16,126.13,debit
15,2023,2022-02-10,123.74,cash
28,2022,2021-12-19,80.17,cash
19,2022,2021-09-12,177.94,credit
4,2023,2022-01-18,177.26,cash
15,2022,2021-09-16,39.47,cash
29,2024,2023-06-18,90.23,debit
26,2024,2023-04-27,190.48,credit
4,2022,2021-10-24,102.24,credit
28,2024,2023-06-20,50,credit
27,2023,2022-08-04,189.77,debit
7,2023,2022-07-13,75.44,cash
23,2024,2023-01-26,179,debit
20,2023,2022-04-26,148.78,cash
30,2024,2023-02-10,187.08,debit
26,2023,2022-09-03,42.76,debit
10,2023,2022-07-06,80.23,debit
2,2023,2022-12-26,54.12,credit
4,2023,2022-06-11,140.79,credit
14,2023,2022-04-08,43.62,credit
28,2023,2023-04-03,165.58,credit
2,2023,2023-07-07,121.48,debit
14,2023,2022-11-08,112.69,cash
3,2022,2021-07-26,110.15,credit
24,2023,2022-07-26,38.56,debit
8,2023,2022-05-18,197.6,debit
17,2023,2021-03-21,105.19,credit
22,2022,2021-12-21,112.94,debit
29,2024,2023-02-15,29.74,cash
21,2023,2022-09-29,156.2,cash
5,2022,2021-12-14,157.77,credit
16,2024,2023-06-18,122.78,credit
15,2022,2021-10-20,28.81,cash
13,2023,2023-03-11,173.83,cash
10,2023,2022-04-28,119.57,cash
1,2024,2023-05-02,156.54,cash
16,2023,2022-12-16,34.32,credit
30,2023,2022-11-03,70.54,debit
25,2022,2021-07-28,44.8,debit
14,2022,2021-12-05,137.52,debit
16,2023,2022-09-13,89.31,credit
1,2022,2021-08-15,37.84,debit
27,2023,2022-10-10,78.5,debit
19,2022,2021-11-07,197.34,credit
9,2022,2022-11-14,31.37,cash
14,2023,2022-10-03,139.91,credit
29,2022,2021-08-20,83.96,debit
5,2022,2021-12-01,119.8,debit
4,2023,2022-12-12,133.6,cash
16,2024,2023-03-06,150.4,credit
28,2024,2023-02-03,172.64,debit
25,2024,2024-02-15,109.23,credit
6,2023,2022-11-27,174.81,credit
22,2023,2022-10-14,81.47,credit
6,2023,2022-08-27,114.25,cash
2,2024,2023-06-07,144.74,credit
11,2023,2023-01-01,158.19,cash
5,2024,2023-07-11,34.93,credit
28,2023,2022-04-16,143.27,credit
4,2023,2022-04-08,137.48,cash
16,2023,2022-07-24,86.66,debit
